682,PRIHODI OD USKL.VRIJEDNOSTI INVESTICIJSKIH NEKRETNINA
6830,KAZNE ZA PRIVREDNE PRESTUPE I PREKRŠAJE
684,PRIHODI OD USKL.VRIJEDNOST DUGOROČNIH FIN.PLASMANA
6885,OSTALI RASHODI
6011,VRIJEDNOST DATIH USLUGA NA INO-TRŽIŠTU
6290,DOBICI OD PRODAJE OSTALIH STALNIH SREDSTAVA
6021,VRIJEDNOST PRODATE ROBE U TRANZITU
612,PRIHODI OD PRODAJE UČINAKA NA INOSTRANOM TRŽIŠTU
6150,POZITIVNE KURSNE RAZLIKE
628,DOBICI OD PRODAJE ST.SREDST.KLAS.KAO SRED.NAMJ.ZA PRODAJ.
631,PRIHODI OD OTPISANIH OBAVEZA
632,VIŠKOVI
635,PRIHODI OD PENALAKAZNINAGRADAODUSTANICA I SL.
636,NAPLAĆENA PRETHODNO OTPISANA POTRAŽIVANJA
6391,OSTALI PRIHODI
6392,OSTALI PRIHODI
710,UKUPNI PRIHODI
700,OTVARANJE GLAVNE KNJIGE FINANSIJSKOG RAČUNOVODSTVA
7001,GUBITAK
711,UKUPNI RASHODI
312,UPISANI NEUPLAĆENI UDJELI
28054,UNAPRIJED PLAĆENI RASHODI
4270,KRATKOROČNE OBAVEZE PO FER VRIJEDNOSTI KROZ RAČUN DOBITI
6620,KAMATE PO OSNOVU ZAJMOVA I KREDITA I OST.FIN.RASHODI
2084,DEPOZIT ZA PTT USLUGE
5329,TROŠKOVI USLUGA ODRŽAVANJA
28053,UNAPRIJED PLAĆENI RASHODI
28051,UNAPRIJED PLAĆENI RASHODI
10325,KNJIGE
513,UTROŠENI REZERVNI DIJELOVI
539959,TROŠKOVI OSTALIH USLUGA
1301,CARINE I DRUGE UVOZNE DAŽBINE
48180,OBAVEZE ZA POREZ NA DOBIT
1303,TRANSPORTNI TROŠKOVI
1305,OSTALI ZAVISNI TROŠKOVI
49903,OSTALA KRATKOROČNA RAZGRANIČENJA
1300, ROBA
6013,VRIJEDNOST DATIH USLUGA ZA SOPSTVENE POTREBE
442,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
4422,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
5234,TROŠKOVI SLUŽBENIH PUTOVANJA ZAPOSLENIH
68852,DONACIJE ZA ARMIJU R BIH
4420,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
4427,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
483099,DOPRINOSI ČLANARINE I DRUGA DAVANJA
3100,UPISANI NEUPLAĆENI KAPITAL
2005,PRELAZNI KONTO - BANKA <-> BANKA BLAG
48308,DOPRINOSI ČLANARINE I DRUGA DAVANJA
0,STALNA SREDSTVA I DUGOROČNI PLASMANI
138003,POREZ NA PROMET PROIZVODA T3
138004,POREZ NA PROMET PROIZVODA T4
138005,POREZ NA PROMET PROIZVODA T5
4213,OBAVEZE PO EMITOVANIM KRATKOROČNIM VRIJEDNOSNIM PAPIRIMA
55322,BANKARSKE USLUGE
206,BLAGAJNE INOSTRANA VALUTA
064,DUGOROČNI KREDITI DATI U INOSTRANSTVO
700000,OBRAČUN POSLOVNOG REZULTATA
3001,DIONIČKI KAPITAL
066,FINANSIJSKA SREDSTVA KOJA SE DRŽE DO ROKA DOSPIJEĆA
4428,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
1010,SIROVINE I MATERIJALI U VLASTITOM SKLADIŠTU
5543,TROŠKOVI POŠTANSKIH I TELEKOMUNIKACIONIH USLUGAPRODAJU
10323,KANCELARIJSKI MATERIJAL POTREBAN ZA RAD KANCELARIJE SC
2350,POTRAZIVANJA-VISE PLACEN DOPRINOS ZA ZDRAVSTVO
60010,VRIJEDNOST PRODATOG FMK PROG.PAKETA
710000,DOBIT TEKUĆE GODINE
0208,REVALORIZACIJA ZEMLJIŠTA I ŠUMA
5395,TROŠKOVI OSTALIH USLUGA
5690,OSTALI FINANSIJSKI RASHODI
20090,
5396,TROŠKOVI OSTALIH USLUGA
6029,VRIJEDNOST PREFAKTURISANIH USLUGA
51320,VOZILA TROŠKOVI ODRŽAVANJA
4995,OSTALA KRATKOROČNA RAZGRANIČENJA
02920,***ISPRAVKA VRIJEDNOSTI - RAČUNARI
02929,****ISPRAVKA VRIJEDNOSTI - OSTALA OPREMA
4832,DOPRINOSI ČLANARINE I DRUGA DAVANJA
5561,POREZI KOJI NE ZAVISE OD FIN.REZULTATA I TAKSE
341000,NERASPOREĐENA DOBIT IZVJEŠTAJNE GODINE
5140,OTPIS SITNOG INVENTARA
10329,OSTALI KANCELARIJSKI MATERIJAL
6650,NEGATIVNE KURSNE RAZLIKE
